grafo,generador_grafo,algoritmo_fm,vertices,densidad,aristas,f,s,media,mediana,varianza,desv
vertices256aristas8140,fast_gnp_random_graph,shortest_augmenting_path,256,0.24939,8140,33,101,0.06009,0.06247,4e-05,0.00618
vertices256aristas8140,fast_gnp_random_graph,edmonds_karp,256,0.24939,8140,33,101,0.0495,0.04692,1e-05,0.00318
vertices256aristas8140,fast_gnp_random_graph,preflow_push,256,0.24939,8140,33,101,0.08626,0.08225,0.00025,0.01596
vertices256aristas8140,fast_gnp_random_graph,shortest_augmenting_path,256,0.24939,8140,33,101,0.06011,0.06251,4e-05,0.00638
vertices256aristas8140,fast_gnp_random_graph,edmonds_karp,256,0.24939,8140,33,101,0.05055,0.05291,7e-05,0.00834
vertices256aristas8140,fast_gnp_random_graph,preflow_push,256,0.24939,8140,33,101,0.08326,0.08253,0.00017,0.01296
vertices256aristas8140,fast_gnp_random_graph,shortest_augmenting_path,256,0.24939,8140,33,101,0.06009,0.06903,0.0002,0.01398
vertices256aristas8140,fast_gnp_random_graph,edmonds_karp,256,0.24939,8140,33,101,0.05065,0.05296,3e-05,0.00566
vertices256aristas8140,fast_gnp_random_graph,preflow_push,256,0.24939,8140,33,101,0.08005,0.08011,4e-05,0.0066
vertices256aristas8140,fast_gnp_random_graph,shortest_augmenting_path,256,0.24939,8140,33,101,0.07022,0.06903,3e-05,0.00556
vertices256aristas8140,fast_gnp_random_graph,edmonds_karp,256,0.24939,8140,33,101,0.05322,0.04692,0.00014,0.01201
vertices256aristas8140,fast_gnp_random_graph,preflow_push,256,0.24939,8140,33,101,0.0802,0.08266,3e-05,0.00555
vertices256aristas8140,fast_gnp_random_graph,shortest_augmenting_path,256,0.24939,8140,33,101,0.057,0.06085,0.00013,0.01122
vertices256aristas8140,fast_gnp_random_graph,edmonds_karp,256,0.24939,8140,33,101,0.06013,0.05341,0.0001,0.01012
vertices256aristas8140,fast_gnp_random_graph,preflow_push,256,0.24939,8140,33,101,0.08024,0.07919,2e-05,0.0039
vertices256aristas8212,fast_gnp_random_graph,shortest_augmenting_path,256,0.25159,8212,140,197,0.06005,0.06251,6e-05,0.00743
vertices256aristas8212,fast_gnp_random_graph,edmonds_karp,256,0.25159,8212,140,197,0.05683,0.0566,0.00029,0.01694
vertices256aristas8212,fast_gnp_random_graph,preflow_push,256,0.25159,8212,140,197,0.06638,0.06002,0.00019,0.01368
vertices256aristas8212,fast_gnp_random_graph,shortest_augmenting_path,256,0.25159,8212,140,197,0.05614,0.05344,4e-05,0.00649
vertices256aristas8212,fast_gnp_random_graph,edmonds_karp,256,0.25159,8212,140,197,0.05457,0.05151,8e-05,0.0088
vertices256aristas8212,fast_gnp_random_graph,preflow_push,256,0.25159,8212,140,197,0.07244,0.06616,0.00023,0.01518
vertices256aristas8212,fast_gnp_random_graph,shortest_augmenting_path,256,0.25159,8212,140,197,0.05715,0.05341,0.0001,0.0102
vertices256aristas8212,fast_gnp_random_graph,edmonds_karp,256,0.25159,8212,140,197,0.05388,0.04691,0.00013,0.01129
vertices256aristas8212,fast_gnp_random_graph,preflow_push,256,0.25159,8212,140,197,0.06852,0.06825,0.00017,0.01319
vertices256aristas8212,fast_gnp_random_graph,shortest_augmenting_path,256,0.25159,8212,140,197,0.06853,0.05742,0.00042,0.02044
vertices256aristas8212,fast_gnp_random_graph,edmonds_karp,256,0.25159,8212,140,197,0.05687,0.0534,7e-05,0.00851
vertices256aristas8212,fast_gnp_random_graph,preflow_push,256,0.25159,8212,140,197,0.06839,0.05737,0.0004,0.01995
vertices256aristas8212,fast_gnp_random_graph,shortest_augmenting_path,256,0.25159,8212,140,197,0.0612,0.06251,3e-05,0.00513
vertices256aristas8212,fast_gnp_random_graph,edmonds_karp,256,0.25159,8212,140,197,0.06193,0.06041,0.00019,0.01367
vertices256aristas8212,fast_gnp_random_graph,preflow_push,256,0.25159,8212,140,197,0.07366,0.07698,0.00015,0.01228
vertices256aristas8196,fast_gnp_random_graph,shortest_augmenting_path,256,0.2511,8196,159,194,0.06539,0.06631,1e-05,0.00334
vertices256aristas8196,fast_gnp_random_graph,edmonds_karp,256,0.2511,8196,159,194,0.06672,0.06853,0.0004,0.02012
vertices256aristas8196,fast_gnp_random_graph,preflow_push,256,0.2511,8196,159,194,0.11284,0.10042,0.00208,0.04557
vertices256aristas8196,fast_gnp_random_graph,shortest_augmenting_path,256,0.2511,8196,159,194,0.08816,0.07116,0.00191,0.04369
vertices256aristas8196,fast_gnp_random_graph,edmonds_karp,256,0.2511,8196,159,194,0.0669,0.06417,7e-05,0.00816
vertices256aristas8196,fast_gnp_random_graph,preflow_push,256,0.2511,8196,159,194,0.06953,0.06904,3e-05,0.00505
vertices256aristas8196,fast_gnp_random_graph,shortest_augmenting_path,256,0.2511,8196,159,194,0.0605,0.055,0.0001,0.00984
vertices256aristas8196,fast_gnp_random_graph,edmonds_karp,256,0.2511,8196,159,194,0.06267,0.05294,0.00025,0.01571
vertices256aristas8196,fast_gnp_random_graph,preflow_push,256,0.2511,8196,159,194,0.07365,0.06859,0.00017,0.01301
vertices256aristas8196,fast_gnp_random_graph,shortest_augmenting_path,256,0.2511,8196,159,194,0.06041,0.06504,0.0002,0.01412
vertices256aristas8196,fast_gnp_random_graph,edmonds_karp,256,0.2511,8196,159,194,0.05654,0.05196,0.00012,0.011
vertices256aristas8196,fast_gnp_random_graph,preflow_push,256,0.2511,8196,159,194,0.1038,0.08423,0.00197,0.04443
vertices256aristas8196,fast_gnp_random_graph,shortest_augmenting_path,256,0.2511,8196,159,194,0.06159,0.06303,0.00011,0.01044
vertices256aristas8196,fast_gnp_random_graph,edmonds_karp,256,0.2511,8196,159,194,0.05552,0.0524,0.00018,0.01323
vertices256aristas8196,fast_gnp_random_graph,preflow_push,256,0.2511,8196,159,194,0.06946,0.06899,2e-05,0.00499
vertices256aristas8127,fast_gnp_random_graph,shortest_augmenting_path,256,0.24899,8127,76,190,0.05697,0.05817,8e-05,0.00892
vertices256aristas8127,fast_gnp_random_graph,edmonds_karp,256,0.24899,8127,76,190,0.05318,0.05297,8e-05,0.00876
vertices256aristas8127,fast_gnp_random_graph,preflow_push,256,0.24899,8127,76,190,0.06485,0.06808,8e-05,0.00909
vertices256aristas8127,fast_gnp_random_graph,shortest_augmenting_path,256,0.24899,8127,76,190,0.06955,0.06812,0.00025,0.01585
vertices256aristas8127,fast_gnp_random_graph,edmonds_karp,256,0.24899,8127,76,190,0.05274,0.04691,8e-05,0.00894
vertices256aristas8127,fast_gnp_random_graph,preflow_push,256,0.24899,8127,76,190,0.06406,0.06413,4e-05,0.0065
vertices256aristas8127,fast_gnp_random_graph,shortest_augmenting_path,256,0.24899,8127,76,190,0.06615,0.07363,0.00018,0.01353
vertices256aristas8127,fast_gnp_random_graph,edmonds_karp,256,0.24899,8127,76,190,0.06012,0.06079,2e-05,0.00418
vertices256aristas8127,fast_gnp_random_graph,preflow_push,256,0.24899,8127,76,190,0.0632,0.06502,5e-05,0.00727
vertices256aristas8127,fast_gnp_random_graph,shortest_augmenting_path,256,0.24899,8127,76,190,0.0577,0.05293,0.00011,0.01044
vertices256aristas8127,fast_gnp_random_graph,edmonds_karp,256,0.24899,8127,76,190,0.05939,0.06251,0.0001,0.01003
vertices256aristas8127,fast_gnp_random_graph,preflow_push,256,0.24899,8127,76,190,0.06395,0.06589,5e-05,0.00735
vertices256aristas8127,fast_gnp_random_graph,shortest_augmenting_path,256,0.24899,8127,76,190,0.05948,0.06252,5e-05,0.00735
vertices256aristas8127,fast_gnp_random_graph,edmonds_karp,256,0.24899,8127,76,190,0.05372,0.05136,0.00014,0.01185
vertices256aristas8127,fast_gnp_random_graph,preflow_push,256,0.24899,8127,76,190,0.07686,0.08123,0.00011,0.01068
vertices256aristas8175,fast_gnp_random_graph,shortest_augmenting_path,256,0.25046,8175,27,220,0.05991,0.06247,7e-05,0.00865
vertices256aristas8175,fast_gnp_random_graph,edmonds_karp,256,0.25046,8175,27,220,0.05441,0.04692,0.00014,0.0119
vertices256aristas8175,fast_gnp_random_graph,preflow_push,256,0.25046,8175,27,220,0.0707,0.07741,0.00011,0.01048
vertices256aristas8175,fast_gnp_random_graph,shortest_augmenting_path,256,0.25046,8175,27,220,0.06441,0.06703,0.00011,0.01065
vertices256aristas8175,fast_gnp_random_graph,edmonds_karp,256,0.25046,8175,27,220,0.05254,0.053,9e-05,0.00973
vertices256aristas8175,fast_gnp_random_graph,preflow_push,256,0.25046,8175,27,220,0.07171,0.07465,0.00016,0.01251
