grafo,generador_grafo,algoritmo_fm,vertices,densidad,aristas,f,s,media,mediana,varianza,desv
vertices256aristas6773,fast_gnp_random_graph,shortest_augmenting_path,256,0.20751,6773,52,55,0.0745,0.07922,0.0001,0.00987
vertices256aristas6773,fast_gnp_random_graph,maximum_flow,256,0.20751,6773,52,55,0.11255,0.10428,0.00048,0.02185
vertices256aristas6773,fast_gnp_random_graph,preflow_push,256,0.20751,6773,52,55,0.08353,0.08523,8e-05,0.00912
vertices256aristas6773,fast_gnp_random_graph,shortest_augmenting_path,256,0.20751,6773,52,55,0.0683,0.06418,8e-05,0.00883
vertices256aristas6773,fast_gnp_random_graph,maximum_flow,256,0.20751,6773,52,55,0.09519,0.09385,8e-05,0.0087
vertices256aristas6773,fast_gnp_random_graph,preflow_push,256,0.20751,6773,52,55,0.08443,0.07822,0.00011,0.01058
vertices256aristas6773,fast_gnp_random_graph,shortest_augmenting_path,256,0.20751,6773,52,55,0.06717,0.06123,8e-05,0.00868
vertices256aristas6773,fast_gnp_random_graph,maximum_flow,256,0.20751,6773,52,55,0.09208,0.09281,0.00017,0.01293
vertices256aristas6773,fast_gnp_random_graph,preflow_push,256,0.20751,6773,52,55,0.08945,0.09074,9e-05,0.00961
vertices256aristas6773,fast_gnp_random_graph,shortest_augmenting_path,256,0.20751,6773,52,55,0.06911,0.06574,0.0001,0.00982
vertices256aristas6773,fast_gnp_random_graph,maximum_flow,256,0.20751,6773,52,55,0.09047,0.08724,4e-05,0.00654
vertices256aristas6773,fast_gnp_random_graph,preflow_push,256,0.20751,6773,52,55,0.08706,0.09075,0.00012,0.01087
vertices256aristas6773,fast_gnp_random_graph,shortest_augmenting_path,256,0.20751,6773,52,55,0.0689,0.06568,6e-05,0.00761
vertices256aristas6773,fast_gnp_random_graph,maximum_flow,256,0.20751,6773,52,55,0.09628,0.09824,3e-05,0.00573
vertices256aristas6773,fast_gnp_random_graph,preflow_push,256,0.20751,6773,52,55,0.08194,0.07423,0.00016,0.01255
vertices256aristas6829,fast_gnp_random_graph,shortest_augmenting_path,256,0.20922,6829,89,108,0.08294,0.07721,0.00016,0.01268
vertices256aristas6829,fast_gnp_random_graph,maximum_flow,256,0.20922,6829,89,108,0.09807,0.09533,0.00015,0.0122
vertices256aristas6829,fast_gnp_random_graph,preflow_push,256,0.20922,6829,89,108,0.08174,0.07818,5e-05,0.00738
vertices256aristas6829,fast_gnp_random_graph,shortest_augmenting_path,256,0.20922,6829,89,108,0.08082,0.07621,0.00021,0.01461
vertices256aristas6829,fast_gnp_random_graph,maximum_flow,256,0.20922,6829,89,108,0.09557,0.09028,0.00016,0.01255
vertices256aristas6829,fast_gnp_random_graph,preflow_push,256,0.20922,6829,89,108,0.08192,0.07917,0.0001,0.00998
vertices256aristas6829,fast_gnp_random_graph,shortest_augmenting_path,256,0.20922,6829,89,108,0.07702,0.07324,0.0001,0.01002
vertices256aristas6829,fast_gnp_random_graph,maximum_flow,256,0.20922,6829,89,108,0.1054,0.10529,7e-05,0.00831
vertices256aristas6829,fast_gnp_random_graph,preflow_push,256,0.20922,6829,89,108,0.08334,0.08326,9e-05,0.00966
vertices256aristas6829,fast_gnp_random_graph,shortest_augmenting_path,256,0.20922,6829,89,108,0.07371,0.07019,7e-05,0.00819
vertices256aristas6829,fast_gnp_random_graph,maximum_flow,256,0.20922,6829,89,108,0.10049,0.09629,9e-05,0.00965
vertices256aristas6829,fast_gnp_random_graph,preflow_push,256,0.20922,6829,89,108,0.08143,0.08423,0.0001,0.01023
vertices256aristas6829,fast_gnp_random_graph,shortest_augmenting_path,256,0.20922,6829,89,108,0.07251,0.06975,7e-05,0.0085
vertices256aristas6829,fast_gnp_random_graph,maximum_flow,256,0.20922,6829,89,108,0.09738,0.08978,0.00019,0.01392
vertices256aristas6829,fast_gnp_random_graph,preflow_push,256,0.20922,6829,89,108,0.09156,0.08724,0.00012,0.01118
vertices256aristas6783,fast_gnp_random_graph,shortest_augmenting_path,256,0.20781,6783,21,237,0.07129,0.06718,0.00011,0.01041
vertices256aristas6783,fast_gnp_random_graph,maximum_flow,256,0.20781,6783,21,237,0.1035,0.09887,7e-05,0.00854
vertices256aristas6783,fast_gnp_random_graph,preflow_push,256,0.20781,6783,21,237,0.09549,0.0934,0.00011,0.01055
vertices256aristas6783,fast_gnp_random_graph,shortest_augmenting_path,256,0.20781,6783,21,237,0.07618,0.07521,0.00017,0.01309
vertices256aristas6783,fast_gnp_random_graph,maximum_flow,256,0.20781,6783,21,237,0.10438,0.09927,0.00016,0.01258
vertices256aristas6783,fast_gnp_random_graph,preflow_push,256,0.20781,6783,21,237,0.09637,0.09279,0.00026,0.0162
vertices256aristas6783,fast_gnp_random_graph,shortest_augmenting_path,256,0.20781,6783,21,237,0.07503,0.07578,3e-05,0.00538
vertices256aristas6783,fast_gnp_random_graph,maximum_flow,256,0.20781,6783,21,237,0.1023,0.0973,0.00019,0.01388
vertices256aristas6783,fast_gnp_random_graph,preflow_push,256,0.20781,6783,21,237,0.1095,0.10574,0.00027,0.01628
vertices256aristas6783,fast_gnp_random_graph,shortest_augmenting_path,256,0.20781,6783,21,237,0.07204,0.06875,8e-05,0.00921
