,sum_sq,df,F,PR(>F)
generador_grafo,0.029121869123944905,2.0,33.049881222980765,8.093527976937092e-15
algoritmo_fm,-0.00012677386856447086,2.0,-0.14387336473497517,1.0
vertices,46.47668420390833,3.0,35163.697449949956,0.0
densidad,2.9102631922896484e-11,2.0,3.3028049272325164e-08,0.9998550157807653
generador_grafo:algoritmo_fm,0.000830818921090202,4.0,0.47144066445341937,0.756748780521793
algoritmo_fm:vertices,6.562740034280876e-05,6.0,0.02482644889162736,0.8748182577975492
vertices:densidad,0.00011228263819672247,6.0,0.04247584338320465,0.958414594171689
generador_grafo:vertices,0.06511156099104037,6.0,24.631309982633965,3.6106388122486476e-28
generador_grafo:densidad,3.1896884622425145e-05,4.0,0.018099597997428784,0.892995032874186
algoritmo_fm:densidad,7.485509211257527e-05,4.0,0.04247584337266555,0.9584145941817654
Residual,0.779816847171313,1770.0,,
