Grafo,Fuente,Sumidero,Media,Mediana,DesvStd,FlujoMax,Grado,CoefAg,CentCer,CentCag,Excentricidad,PageRag
Grafo1,0,1,0.0257,0.02,0.012,19,2,0,0.3878,0.0475,4,0.0347
Grafo1,0,2,0.0172,0.016,0.0023,19,2,0,0.3878,0.0475,4,0.0347
Grafo1,0,3,0.0236,0.0176,0.0133,19,2,0,0.3878,0.0475,4,0.0347
Grafo1,0,4,0.0217,0.02,0.0041,19,2,0,0.3878,0.0475,4,0.0347
Grafo1,0,5,0.042,0.0253,0.0355,19,2,0,0.3878,0.0475,4,0.0347
Grafo1,0,6,0.0373,0.0288,0.0236,19,2,0,0.3878,0.0475,4,0.0347
Grafo1,0,7,0.0233,0.0238,0.0024,19,2,0,0.3878,0.0475,4,0.0347
Grafo1,0,8,0.0178,0.018,0.0024,19,2,0,0.3878,0.0475,4,0.0347
Grafo1,0,9,0.0344,0.0373,0.0154,19,2,0,0.3878,0.0475,4,0.0347
Grafo1,0,10,0.0236,0.021,0.0071,19,2,0,0.3878,0.0475,4,0.0347
Grafo1,0,11,0.025,0.016,0.0138,11,2,0,0.3878,0.0475,4,0.0347
Grafo1,0,12,0.0184,0.017,0.0046,19,2,0,0.3878,0.0475,4,0.0347
Grafo1,0,13,0.022,0.0178,0.0084,19,2,0,0.3878,0.0475,4,0.0347
Grafo1,0,14,0.0384,0.0378,0.0114,19,2,0,0.3878,0.0475,4,0.0347
Grafo1,0,15,0.016,0.016,0.0021,19,2,0,0.3878,0.0475,4,0.0347
Grafo1,0,16,0.018,0.0172,0.0023,19,2,0,0.3878,0.0475,4,0.0347
Grafo1,0,17,0.024,0.0193,0.0099,19,2,0,0.3878,0.0475,4,0.0347
Grafo1,0,18,0.0439,0.0361,0.0142,19,2,0,0.3878,0.0475,4,0.0347
Grafo1,0,19,0.02,0.0156,0.0121,19,2,0,0.3878,0.0475,4,0.0347
Grafo1,1,0,0.0237,0.0217,0.0079,19,3,0.3333,0.3958,0.032,4,0.047
Grafo1,1,2,0.0184,0.0157,0.0048,37,3,0.3333,0.3958,0.032,4,0.047
Grafo1,1,3,0.0244,0.0231,0.0066,37,3,0.3333,0.3958,0.032,4,0.047
Grafo1,1,4,0.0304,0.024,0.0135,34,3,0.3333,0.3958,0.032,4,0.047
Grafo1,1,5,0.0185,0.0195,0.0019,23,3,0.3333,0.3958,0.032,4,0.047
Grafo1,1,6,0.1081,0.0881,0.0614,37,3,0.3333,0.3958,0.032,4,0.047
Grafo1,1,7,0.062,0.054,0.0232,24,3,0.3333,0.3958,0.032,4,0.047
Grafo1,1,8,0.065,0.0398,0.0398,32,3,0.3333,0.3958,0.032,4,0.047
Grafo1,1,9,0.032,0.02,0.02,22,3,0.3333,0.3958,0.032,4,0.047
Grafo1,1,10,0.023,0.0235,0.0037,25,3,0.3333,0.3958,0.032,4,0.047
Grafo1,1,11,0.0268,0.02,0.0192,11,3,0.3333,0.3958,0.032,4,0.047
Grafo1,1,12,0.0384,0.0298,0.0168,37,3,0.3333,0.3958,0.032,4,0.047
Grafo1,1,13,0.0888,0.0861,0.0355,37,3,0.3333,0.3958,0.032,4,0.047
Grafo1,1,14,0.0275,0.028,0.0009,37,3,0.3333,0.3958,0.032,4,0.047
Grafo1,1,15,0.0251,0.024,0.0022,22,3,0.3333,0.3958,0.032,4,0.047
Grafo1,1,16,0.0446,0.0468,0.0181,37,3,0.3333,0.3958,0.032,4,0.047
Grafo1,1,17,0.0283,0.024,0.0106,32,3,0.3333,0.3958,0.032,4,0.047
Grafo1,1,18,0.0624,0.0621,0.0242,27,3,0.3333,0.3958,0.032,4,0.047
Grafo1,1,19,0.0464,0.0265,0.0302,30,3,0.3333,0.3958,0.032,4,0.047
Grafo1,2,0,0.0584,0.0358,0.0416,19,4,0.1667,0.4222,0.0764,3,0.0608
Grafo1,2,1,0.044,0.0345,0.0242,37,4,0.1667,0.4222,0.0764,3,0.0608
Grafo1,2,3,0.0508,0.0508,0.0058,42,4,0.1667,0.4222,0.0764,3,0.0608
Grafo1,2,4,0.0623,0.056,0.0279,34,4,0.1667,0.4222,0.0764,3,0.0608
Grafo1,2,5,0.0186,0.0197,0.0017,23,4,0.1667,0.4222,0.0764,3,0.0608
Grafo1,2,6,0.0568,0.0473,0.0218,39,4,0.1667,0.4222,0.0764,3,0.0608
Grafo1,2,7,0.0204,0.02,0.0033,24,4,0.1667,0.4222,0.0764,3,0.0608
Grafo1,2,8,0.0483,0.04,0.0175,32,4,0.1667,0.4222,0.0764,3,0.0608
Grafo1,2,9,0.0718,0.07,0.0223,22,4,0.1667,0.4222,0.0764,3,0.0608
Grafo1,2,10,0.0225,0.021,0.0042,25,4,0.1667,0.4222,0.0764,3,0.0608
Grafo1,2,11,0.0192,0.02,0.0016,11,4,0.1667,0.4222,0.0764,3,0.0608
Grafo1,2,12,0.0993,0.0961,0.0538,42,4,0.1667,0.4222,0.0764,3,0.0608
Grafo1,2,13,0.0628,0.036,0.0412,42,4,0.1667,0.4222,0.0764,3,0.0608
Grafo1,2,14,0.0518,0.0391,0.0223,42,4,0.1667,0.4222,0.0764,3,0.0608
Grafo1,2,15,0.0323,0.026,0.0119,22,4,0.1667,0.4222,0.0764,3,0.0608
Grafo1,2,16,0.0324,0.026,0.0122,42,4,0.1667,0.4222,0.0764,3,0.0608
Grafo1,2,17,0.0376,0.0283,0.017,32,4,0.1667,0.4222,0.0764,3,0.0608
Grafo1,2,18,0.0656,0.059,0.0378,27,4,0.1667,0.4222,0.0764,3,0.0608
Grafo1,2,19,0.0396,0.0308,0.0175,30,4,0.1667,0.4222,0.0764,3,0.0608
Grafo1,3,0,0.0225,0.0227,0.0023,19,5,0,0.4419,0.1669,4,0.0779
Grafo1,3,1,0.0336,0.0278,0.0112,37,5,0,0.4419,0.1669,4,0.0779
Grafo1,3,2,0.1081,0.1021,0.0575,42,5,0,0.4419,0.1669,4,0.0779
Grafo1,3,4,0.0612,0.052,0.0258,34,5,0,0.4419,0.1669,4,0.0779
Grafo1,3,5,0.0224,0.024,0.0021,23,5,0,0.4419,0.1669,4,0.0779
Grafo1,3,6,0.0801,0.0501,0.0614,39,5,0,0.4419,0.1669,4,0.0779
Grafo1,3,7,0.0273,0.0189,0.0171,24,5,0,0.4419,0.1669,4,0.0779
Grafo1,3,8,0.0369,0.0374,0.0057,32,5,0,0.4419,0.1669,4,0.0779
Grafo1,3,9,0.0154,0.0156,0.0057,22,5,0,0.4419,0.1669,4,0.0779
Grafo1,3,10,0.0201,0.0157,0.007,25,5,0,0.4419,0.1669,4,0.0779
Grafo1,3,11,0.0279,0.025,0.0124,11,5,0,0.4419,0.1669,4,0.0779
Grafo1,3,12,0.0545,0.054,0.0217,42,5,0,0.4419,0.1669,4,0.0779
Grafo1,3,13,0.0612,0.068,0.0179,52,5,0,0.4419,0.1669,4,0.0779
Grafo1,3,14,0.0323,0.02,0.0174,52,5,0,0.4419,0.1669,4,0.0779
Grafo1,3,15,0.0308,0.0203,0.0173,22,5,0,0.4419,0.1669,4,0.0779
Grafo1,3,16,0.0589,0.0441,0.0274,46,5,0,0.4419,0.1669,4,0.0779
Grafo1,3,17,0.0392,0.028,0.0172,32,5,0,0.4419,0.1669,4,0.0779
Grafo1,3,18,0.0248,0.023,0.0072,27,5,0,0.4419,0.1669,4,0.0779
Grafo1,3,19,0.0408,0.0473,0.0166,30,5,0,0.4419,0.1669,4,0.0779
Grafo1,4,0,0.0416,0.0438,0.0154,19,3,0.3333,0.4222,0.0946,4,0.0472
Grafo1,4,1,0.0616,0.0503,0.0232,34,3,0.3333,0.4222,0.0946,4,0.0472
Grafo1,4,2,0.0231,0.0218,0.0044,34,3,0.3333,0.4222,0.0946,4,0.0472
Grafo1,4,3,0.0228,0.024,0.0019,34,3,0.3333,0.4222,0.0946,4,0.0472
Grafo1,4,5,0.0221,0.021,0.0049,23,3,0.3333,0.4222,0.0946,4,0.0472
Grafo1,4,6,0.058,0.049,0.019,34,3,0.3333,0.4222,0.0946,4,0.0472
Grafo1,4,7,0.0469,0.052,0.0152,24,3,0.3333,0.4222,0.0946,4,0.0472
Grafo1,4,8,0.0836,0.0661,0.0488,32,3,0.3333,0.4222,0.0946,4,0.0472
Grafo1,4,9,0.0236,0.02,0.0073,22,3,0.3333,0.4222,0.0946,4,0.0472
Grafo1,4,10,0.0221,0.0228,0.0022,25,3,0.3333,0.4222,0.0946,4,0.0472
Grafo1,4,11,0.0195,0.02,0.0013,11,3,0.3333,0.4222,0.0946,4,0.0472
Grafo1,4,12,0.0352,0.03,0.0129,34,3,0.3333,0.4222,0.0946,4,0.0472
Grafo1,4,13,0.0356,0.0251,0.015,34,3,0.3333,0.4222,0.0946,4,0.0472
Grafo1,4,14,0.0271,0.024,0.0081,34,3,0.3333,0.4222,0.0946,4,0.0472
Grafo1,4,15,0.0492,0.0345,0.0366,22,3,0.3333,0.4222,0.0946,4,0.0472
Grafo1,4,16,0.0392,0.044,0.0094,34,3,0.3333,0.4222,0.0946,4,0.0472
Grafo1,4,17,0.067,0.0681,0.0329,32,3,0.3333,0.4222,0.0946,4,0.0472
Grafo1,4,18,0.0719,0.064,0.0375,27,3,0.3333,0.4222,0.0946,4,0.0472
Grafo1,4,19,0.0528,0.0275,0.0414,30,3,0.3333,0.4222,0.0946,4,0.0472
Grafo1,5,0,0.0212,0.02,0.0071,19,2,1,0.3519,0,4,0.0343
Grafo1,5,1,0.0172,0.016,0.0029,23,2,1,0.3519,0,4,0.0343
Grafo1,5,2,0.0305,0.026,0.0105,23,2,1,0.3519,0,4,0.0343
Grafo1,5,3,0.0236,0.02,0.0098,23,2,1,0.3519,0,4,0.0343
Grafo1,5,4,0.0204,0.02,0.0023,23,2,1,0.3519,0,4,0.0343
Grafo1,5,6,0.0264,0.0296,0.01,23,2,1,0.3519,0,4,0.0343
Grafo1,5,7,0.0243,0.024,0.0041,23,2,1,0.3519,0,4,0.0343
Grafo1,5,8,0.021,0.02,0.0034,23,2,1,0.3519,0,4,0.0343
Grafo1,5,9,0.0279,0.0213,0.0144,22,2,1,0.3519,0,4,0.0343
Grafo1,5,10,0.0196,0.02,0.0032,23,2,1,0.3519,0,4,0.0343
Grafo1,5,11,0.0617,0.0441,0.0317,11,2,1,0.3519,0,4,0.0343
Grafo1,5,12,0.0326,0.0275,0.0187,23,2,1,0.3519,0,4,0.0343
Grafo1,5,13,0.0187,0.02,0.002,23,2,1,0.3519,0,4,0.0343
Grafo1,5,14,0.0503,0.042,0.0193,23,2,1,0.3519,0,4,0.0343
Grafo1,5,15,0.044,0.042,0.0199,22,2,1,0.3519,0,4,0.0343
Grafo1,5,16,0.0272,0.0203,0.0106,23,2,1,0.3519,0,4,0.0343
Grafo1,5,17,0.0432,0.044,0.0088,23,2,1,0.3519,0,4,0.0343
Grafo1,5,18,0.036,0.0398,0.0141,23,2,1,0.3519,0,4,0.0343
Grafo1,5,19,0.0396,0.044,0.0107,23,2,1,0.3519,0,4,0.0343
Grafo1,6,0,0.0332,0.0358,0.0083,19,4,0.1667,0.4318,0.1306,3,0.0633
Grafo1,6,1,0.0737,0.0523,0.0337,37,4,0.1667,0.4318,0.1306,3,0.0633
Grafo1,6,2,0.0869,0.0881,0.0294,39,4,0.1667,0.4318,0.1306,3,0.0633
Grafo1,6,3,0.03,0.03,0.0021,39,4,0.1667,0.4318,0.1306,3,0.0633
Grafo1,6,4,0.0392,0.0393,0.0051,34,4,0.1667,0.4318,0.1306,3,0.0633
Grafo1,6,5,0.0436,0.0323,0.0316,23,4,0.1667,0.4318,0.1306,3,0.0633
Grafo1,6,7,0.0237,0.024,0.0024,24,4,0.1667,0.4318,0.1306,3,0.0633
Grafo1,6,8,0.0344,0.034,0.0027,32,4,0.1667,0.4318,0.1306,3,0.0633
Grafo1,6,9,0.026,0.0205,0.0113,22,4,0.1667,0.4318,0.1306,3,0.0633
Grafo1,6,10,0.0364,0.034,0.0166,25,4,0.1667,0.4318,0.1306,3,0.0633
Grafo1,6,11,0.0246,0.02,0.0085,11,4,0.1667,0.4318,0.1306,3,0.0633
Grafo1,6,12,0.0873,0.066,0.0547,39,4,0.1667,0.4318,0.1306,3,0.0633
Grafo1,6,13,0.0528,0.0541,0.0226,39,4,0.1667,0.4318,0.1306,3,0.0633
Grafo1,6,14,0.0592,0.0403,0.0429,39,4,0.1667,0.4318,0.1306,3,0.0633
Grafo1,6,15,0.0504,0.0465,0.0314,22,4,0.1667,0.4318,0.1306,3,0.0633
Grafo1,6,16,0.0615,0.0595,0.0332,39,4,0.1667,0.4318,0.1306,3,0.0633
Grafo1,6,17,0.0713,0.0601,0.0201,32,4,0.1667,0.4318,0.1306,3,0.0633
Grafo1,6,18,0.0416,0.0316,0.0209,27,4,0.1667,0.4318,0.1306,3,0.0633
Grafo1,6,19,0.0476,0.044,0.0175,30,4,0.1667,0.4318,0.1306,3,0.0633
Grafo1,7,0,0.0216,0.0157,0.008,19,2,0,0.3878,0.0404,4,0.0341
Grafo1,7,1,0.0267,0.022,0.016,24,2,0,0.3878,0.0404,4,0.0341
Grafo1,7,2,0.0322,0.034,0.0115,24,2,0,0.3878,0.0404,4,0.0341
Grafo1,7,3,0.0541,0.052,0.0171,24,2,0,0.3878,0.0404,4,0.0341
Grafo1,7,4,0.0332,0.0328,0.0112,24,2,0,0.3878,0.0404,4,0.0341
Grafo1,7,5,0.0284,0.0215,0.0139,23,2,0,0.3878,0.0404,4,0.0341
Grafo1,7,6,0.0597,0.0551,0.0125,24,2,0,0.3878,0.0404,4,0.0341
Grafo1,7,8,0.0316,0.0206,0.0179,24,2,0,0.3878,0.0404,4,0.0341
Grafo1,7,9,0.0308,0.024,0.0169,22,2,0,0.3878,0.0404,4,0.0341
Grafo1,7,10,0.0244,0.0235,0.0055,24,2,0,0.3878,0.0404,4,0.0341
Grafo1,7,11,0.0468,0.041,0.0224,11,2,0,0.3878,0.0404,4,0.0341
Grafo1,7,12,0.0248,0.024,0.0025,24,2,0,0.3878,0.0404,4,0.0341
Grafo1,7,13,0.0384,0.0392,0.0162,24,2,0,0.3878,0.0404,4,0.0341
Grafo1,7,14,0.0412,0.043,0.0131,24,2,0,0.3878,0.0404,4,0.0341
Grafo1,7,15,0.026,0.024,0.0067,22,2,0,0.3878,0.0404,4,0.0341
Grafo1,7,16,0.0381,0.0399,0.0039,24,2,0,0.3878,0.0404,4,0.0341
Grafo1,7,17,0.0603,0.0579,0.0229,24,2,0,0.3878,0.0404,4,0.0341
Grafo1,7,18,0.0285,0.024,0.0105,24,2,0,0.3878,0.0404,4,0.0341
Grafo1,7,19,0.0307,0.0203,0.0157,24,2,0,0.3878,0.0404,4,0.0341
Grafo1,8,0,0.0188,0.0185,0.0031,19,3,0.3333,0.4222,0.068,4,0.0491
Grafo1,8,1,0.0412,0.036,0.0189,32,3,0.3333,0.4222,0.068,4,0.0491
Grafo1,8,2,0.0796,0.073,0.0352,32,3,0.3333,0.4222,0.068,4,0.0491
Grafo1,8,3,0.0396,0.028,0.0209,32,3,0.3333,0.4222,0.068,4,0.0491
Grafo1,8,4,0.0352,0.0313,0.0149,32,3,0.3333,0.4222,0.068,4,0.0491
Grafo1,8,5,0.0517,0.0519,0.0107,23,3,0.3333,0.4222,0.068,4,0.0491
Grafo1,8,6,0.0473,0.04,0.0206,32,3,0.3333,0.4222,0.068,4,0.0491
Grafo1,8,7,0.0564,0.06,0.0129,24,3,0.3333,0.4222,0.068,4,0.0491
Grafo1,8,9,0.03,0.0225,0.013,22,3,0.3333,0.4222,0.068,4,0.0491
Grafo1,8,10,0.0251,0.0235,0.0074,25,3,0.3333,0.4222,0.068,4,0.0491
Grafo1,8,11,0.0174,0.0168,0.003,11,3,0.3333,0.4222,0.068,4,0.0491
Grafo1,8,12,0.0209,0.0203,0.0026,32,3,0.3333,0.4222,0.068,4,0.0491
Grafo1,8,13,0.0198,0.02,0.0015,32,3,0.3333,0.4222,0.068,4,0.0491
Grafo1,8,14,0.0336,0.0248,0.0198,32,3,0.3333,0.4222,0.068,4,0.0491
Grafo1,8,15,0.0452,0.052,0.0129,22,3,0.3333,0.4222,0.068,4,0.0491
Grafo1,8,16,0.0569,0.062,0.0309,32,3,0.3333,0.4222,0.068,4,0.0491
Grafo1,8,17,0.0721,0.0721,0.0263,32,3,0.3333,0.4222,0.068,4,0.0491
Grafo1,8,18,0.0472,0.0425,0.0246,27,3,0.3333,0.4222,0.068,4,0.0491
Grafo1,8,19,0.0452,0.033,0.0209,30,3,0.3333,0.4222,0.068,4,0.0491
Grafo1,9,0,0.0232,0.0208,0.0051,19,2,0,0.38,0.0171,4,0.0342
Grafo1,9,1,0.03,0.0205,0.0202,22,2,0,0.38,0.0171,4,0.0342
Grafo1,9,2,0.018,0.018,0.0018,22,2,0,0.38,0.0171,4,0.0342
Grafo1,9,3,0.0269,0.0327,0.0106,22,2,0,0.38,0.0171,4,0.0342
Grafo1,9,4,0.0194,0.02,0.0027,22,2,0,0.38,0.0171,4,0.0342
Grafo1,9,5,0.0531,0.0475,0.0282,22,2,0,0.38,0.0171,4,0.0342
Grafo1,9,6,0.038,0.031,0.024,22,2,0,0.38,0.0171,4,0.0342
Grafo1,9,7,0.0708,0.0751,0.0208,22,2,0,0.38,0.0171,4,0.0342
Grafo1,9,8,0.0212,0.02,0.0066,22,2,0,0.38,0.0171,4,0.0342
Grafo1,9,10,0.0356,0.036,0.0023,22,2,0,0.38,0.0171,4,0.0342
Grafo1,9,11,0.0507,0.0511,0.0217,11,2,0,0.38,0.0171,4,0.0342
Grafo1,9,12,0.0164,0.016,0.0013,22,2,0,0.38,0.0171,4,0.0342
Grafo1,9,13,0.0284,0.032,0.0115,22,2,0,0.38,0.0171,4,0.0342
Grafo1,9,14,0.0555,0.052,0.024,22,2,0,0.38,0.0171,4,0.0342
Grafo1,9,15,0.0324,0.0225,0.0159,22,2,0,0.38,0.0171,4,0.0342
Grafo1,9,16,0.0864,0.0745,0.0319,22,2,0,0.38,0.0171,4,0.0342
Grafo1,9,17,0.026,0.024,0.0075,22,2,0,0.38,0.0171,4,0.0342
Grafo1,9,18,0.0187,0.0193,0.0025,22,2,0,0.38,0.0171,4,0.0342
Grafo1,9,19,0.068,0.0583,0.0271,22,2,0,0.38,0.0171,4,0.0342
Grafo1,10,0,0.0246,0.0203,0.0105,19,2,0,0.38,0.0171,4,0.0342
Grafo1,10,1,0.024,0.024,0.0048,25,2,0,0.38,0.0171,4,0.0342
Grafo1,10,2,0.0181,0.018,0.0018,25,2,0,0.38,0.0171,4,0.0342
Grafo1,10,3,0.0172,0.016,0.0025,25,2,0,0.38,0.0171,4,0.0342
Grafo1,10,4,0.0412,0.0425,0.0159,25,2,0,0.38,0.0171,4,0.0342
Grafo1,10,5,0.0544,0.0428,0.0337,23,2,0,0.38,0.0171,4,0.0342
Grafo1,10,6,0.0584,0.0581,0.0295,25,2,0,0.38,0.0171,4,0.0342
Grafo1,10,7,0.0253,0.024,0.0051,24,2,0,0.38,0.0171,4,0.0342
Grafo1,10,8,0.0215,0.0203,0.0021,25,2,0,0.38,0.0171,4,0.0342
Grafo1,10,9,0.018,0.016,0.0051,22,2,0,0.38,0.0171,4,0.0342
Grafo1,10,11,0.0366,0.0353,0.0185,11,2,0,0.38,0.0171,4,0.0342
Grafo1,10,12,0.0226,0.02,0.0081,25,2,0,0.38,0.0171,4,0.0342
Grafo1,10,13,0.0171,0.016,0.0017,25,2,0,0.38,0.0171,4,0.0342
Grafo1,10,14,0.044,0.0441,0.0153,25,2,0,0.38,0.0171,4,0.0342
Grafo1,10,15,0.0531,0.0243,0.0432,22,2,0,0.38,0.0171,4,0.0342
Grafo1,10,16,0.0247,0.024,0.0047,25,2,0,0.38,0.0171,4,0.0342
Grafo1,10,17,0.0484,0.0481,0.0235,25,2,0,0.38,0.0171,4,0.0342
Grafo1,10,18,0.0415,0.0243,0.0294,25,2,0,0.38,0.0171,4,0.0342
Grafo1,10,19,0.0448,0.028,0.0304,25,2,0,0.38,0.0171,4,0.0342
Grafo1,11,0,0.0592,0.0581,0.0218,11,1,0,0.3333,0,4,0.021
Grafo1,11,1,0.0208,0.0185,0.0074,11,1,0,0.3333,0,4,0.021
Grafo1,11,2,0.0403,0.04,0.003,11,1,0,0.3333,0,4,0.021
Grafo1,11,3,0.0532,0.0401,0.0275,11,1,0,0.3333,0,4,0.021
Grafo1,11,4,0.0222,0.0226,0.0027,11,1,0,0.3333,0,4,0.021
Grafo1,11,5,0.019,0.018,0.0049,11,1,0,0.3333,0,4,0.021
Grafo1,11,6,0.0208,0.0188,0.006,11,1,0,0.3333,0,4,0.021
Grafo1,11,7,0.0209,0.0179,0.0074,11,1,0,0.3333,0,4,0.021
Grafo1,11,8,0.03,0.034,0.0116,11,1,0,0.3333,0,4,0.021
Grafo1,11,9,0.0276,0.032,0.0081,11,1,0,0.3333,0,4,0.021
Grafo1,11,10,0.052,0.0446,0.0178,11,1,0,0.3333,0,4,0.021
Grafo1,11,12,0.0319,0.0275,0.0151,11,1,0,0.3333,0,4,0.021
Grafo1,11,13,0.0149,0.0153,0.0025,11,1,0,0.3333,0,4,0.021
Grafo1,11,14,0.0146,0.0158,0.0017,11,1,0,0.3333,0,4,0.021
Grafo1,11,15,0.0184,0.016,0.0091,11,1,0,0.3333,0,4,0.021
Grafo1,11,16,0.0151,0.016,0.0032,11,1,0,0.3333,0,4,0.021
